comment,participation,level_of_justification,content_of_justification,respect,counterarguments,constructive_politics,sentiment,fb_comment,live_th,blog_comment
Soo now you're concidering a netflix tax?!?! What elese will you find to tax.. You are by far the worst pm ever! You're gonna make us Canadians broke with all of your new taxes!! Please kindly step down we cannot afford to wait until 2020 to kick you out!,1,0,0,0,0,0,0,1,0,0
"I beg to differ Mr. Prime Minister there was an old system and it worked very well employees were paid correctly and in a timely manner.   The problem is twofold the centralization of the pay in Miramichi and the new system should not have been done at the same time.  I don't know who is advising you but obviously it is someone who has a  vested interest in Pheonix continuing as is.  Also, your advisors are not being totally honest with you as you know the system was implemented by Mr. Harper in Miramichi to appease the closing of the gun registry office but there really was no forethought to how it would work.  Obviously, it is not working and the federal public servants are paying the price now.  Mr. Harper did finally get his revenge on the Public Service by implementing a system that does not pay them.",1,3,1,2,1,1,1,1,0,0
"As your father was. You are a great statesman, you make Canada look good on the international stage. However as your father did you are creating a great deficit and a great debt for our country.",1,0,0,2,0,0,1,1,0,0
"Break from the family tradition, tske care of the people of Canada first. Lower hydro rates (find a way) get rid of this carbon tax.",1,1,0,1,0,0,1,1,0,0
Thank you for making yourself available....it is truly appreciated. I've seen and heard more from you in one year than Mr. Harper in his,1,1,1,2,0,0,2,1,0,0
wow at least he takes questions from the news organizations and the people. more politicians should be doing this.,1,1,1,2,0,0,2,1,0,0
You completely deflected the question in 1.5 Trillion in debt!   I heard nothing about creating desperately needed private sector jobs.  Western Canada needs jobs!   We need pipelines approved Energy Easy needs urgent approval.  Ethical and environmentally responsible oil and natural gas is produced in Canada yet you allow oil to be imported from countries that do not even respect human rights!,1,1,0,1,1,0,0,1,0,0
Transfer payments from the West to Quebec need to stop right now!  How is this equitable and fair?   Pls answer this question?,1,0,0,1,0,0,0,1,0,0
Western Canada needs to separate from Canada! We pay all the bills and get no say on anything. The elections are decided by the East and they get everything Canada sucks!!,1,0,0,0,0,0,0,1,0,0
"The economy led G 20 countries in the 3rd quarter with   2.6% growth. Trudeau is an amazing leader.  It takes guts to face unscreened questions.  Something that the last guy refused to do.  Give him credit. Trudeau is connecting with Canadians and they love him for it.,1.0,0.67,0.67,1.0,0.33,0.5,1,1,0
To those who are complaining it's not in English. . You do realise he is in a french town in quebec....I didn't see quebec people complain when he was speaking in just English in the other Provinces""",1,2,2,1,3,1,2,1,0,0
It is great to have a PM who can speak fluidly in both languages and can respond to the person asking the question in their own language.  I think that is fair to all.,1,1,1,2,0,0,2,1,0,0
Je trouve que c'est un homme a l'í©coute de son peuple. Bravo mr Trudeau. Vous íÈtes aimí© de beaucoup de monde et je suis fiíÂre d'en faire partie. We love you Mr Prime Minister . Proud to be a Canadian,1,1,1,2,0,0,2,1,0,0
We cant please everyone in Canada...just try to support our prime minister for heavens sake...hes better than Harper anyways,1,1,1,1,1,1,1,1,0,0
Justin Trudeau peut parler íæ tous les Canadiens dans les deux langues officielles. íˆa c'est spí©cial. Justin Trudeau can speak to Canadians in both official languages. That's special.,1,1,1,2,0,0,2,1,0,0
Pay attention to what he's saying rather than which language he's speaking!,1,0,1,1,1,0,1,1,0,0
Je suis tríÂs fiíÂre d'íÈtre canadienne míÈme si je vis hors du Canada. M. Justin Trudeau a vraiment aidí© íæ amí©liorer l'image du Canada partout dans le monde.,1,1,1,2,0,0,2,1,0,0
"I'm very very  proud of  our PM !!!Nice I  don't understand French , but always I really  like to listen  his speech",1,1,1,2,0,0,2,1,0,0
I am 45 years old and can't remember the last time a Canadian PM went accross the country to ask the people questions... that is because this PM actually cares what you think - unlike all the rest!,1,1,1,2,0,0,2,1,0,0
You sir are a huge disappointment to Canada and the world. Please step down!!!!!!!,1,1,1,0,0,0,0,1,0,0
Right that's why tons and tons of our money is going to people we can't afford coming into our country. We barely have enough funding to run a province or a hospital ect. What about all those cut backs ? Should that come out of ur pocket when ur going to use a private jet ?,1,1,0,1,1,0,0,1,0,0
Quebec and ontario voted him in.  The rest of canada dont matter,1,0,1,1,0,0,0,1,0,0
He is two faced.  He will tell you something and tell the next province something else,1,1,1,0,0,0,0,1,0,0
In calgary he filled the room with students then let a few people in,1,1,1,1,0,0,1,1,0,0
More important for people to put money in the Trudeau fund to get anything,1,0,1,0,0,0,1,1,0,0
Cannabis legalization now!,1,0,0,1,0,0,1,1,0,0
Are they keeping people out of there like they did in alberta?,1,1,1,0,0,0,1,1,0,0
"Ray Web, you would lose that boxing match for sure!!!",1,0,1,0,0,0,0,1,0,0
This interview is further proof that he is a coward unwilling to face his constituents. This is worthless. He will not stray from talking points (which are alternative facts).,1,1,1,0,0,0,0,1,0,0
We've heard from Senator Casey about this multiple times. This is the first we've heard you say anything about an investigation into Russia. Why aren't you as engaged as Casey?,1,1,1,0,0,0,0,1,0,0
"Not a question but I'd like the senator to know that he's only getting sad and angry emoji. Looking forward to seeing you float right out of office on a sea of these.,",1,1,1,0,0,0,0,1,0,0
Time for universal health care for all including government.  The insurance premiums will continue to rise no matter what unless their are restriction put on them.,1,0,2,1,0,0,1,1,0,0
Starting with a lie is a terrible way to begin. I've done more Town hall Meetings than any other elected official in Pennsylvania.,1,0,1,0,1,0,0,1,0,0
Coward. I hope #TuesdayswithToomey is out in full force tomorrow. You have not mollified us.,1,0,0,0,0,0,0,1,0,0
"Is CBS going to have him explain why he has not had an official town hall in Philadelphia since he was initially elected in 20,2,0.0,0.33,0.0,0,0,0.5,1,0
PAT TOOMEY ENTERED CBS3 FROM THE LOADING DOCK! COWARD!!""",1,0,1,0,0,0,0,1,0,0
"Why not admit that the campaign promise to repeal ACA was a foolish one, agree with Dems that fixes to the Act are the way forward, and actually find an area to work together bilaterally?",1,0,1,1,0,0,1,1,0,0
"Mark Sanford promises: I'll go 'til the last person leaves   _ as long as y'all want to talk, I'll talk.",1,1,1,1,0,0,0,1,0,0
This is where I live so pretty cool BuzzFeed is covering it. Thanks y'all!! We need this kind of exposure to show that those who disagree with 45 aren't just in certain areas of our country.,1,1,2,2,2,1,2,1,0,0
A good percentage of these so called great charter schools fail. The only reason some look better is because they hand pick there kids and throw the non performing back to a public school..,1,2,1,1,2,1,1,1,0,0
"I also assume that everyone here who's so vocally opposing abortion, supports comprehensive sex education and free and accessible birth control for everyone who wants it right?",1,0,1,1,2,0,1,1,0,0
"I'm actually impressed by how much this discussion is less talking point bs and, while it is tense, it is substantive and honest, and I would say fairly civil.",1,0,1,2,3,0,2,1,0,0
Yes this is the guy who was MIA at his post and was in South America with his girlfriend. POS!   Republican's = Hypocrisy,1,1,1,0,0,0,0,1,0,0
Religious based health care will not allow women to have objective care from their providers. Republicans are lying. Women should support planned parenthood,1,1,2,1,1,0,0,1,0,0
Will you take a stand against your party to act on what you just said about Russia,1,0,1,1,0,0,1,1,0,0
Perhaps you are more privileged than most. Don't judge everyone by your situation.,1,0,1,1,1,0,1,1,0,0
Diverting the blame to leaks and whistle blowers but excusing Flynn's lying that endangers our nation?,1,0,1,0,1,0,0,1,0,0
I hope you will review all these comments. You've missed a lot.,1,0,0,1,0,0,1,1,0,0
Pay back the money that was borrowed  to social security.,1,0,1,1,0,0,0,1,0,0
Hey government STAY OUT of my life. But heyyyyyy pay for my lack of personal accountability. Come one people,1,0,1,1,1,0,0,1,0,0
This is literally how health insurance has to work...we're all in it together.,1,1,2,1,0,0,2,1,0,0
Maybe a little more tax money from millionaires and big corporations.,1,0,1,1,0,0,1,1,0,0
Privilege?  He has spent his life serving this country. Do your research people,1,0,1,1,1,0,1,1,0,0
"I just feel that all the talk never gets to the root of anything that evolves into future repricussions, pay all students, I just see no other way for equality and progress",1,0,3,1,1,1,1,1,0,0
"Do you think you could start paying school children to do well in school? There are a lot of standards and expectations the students are required to achieve, and that sounds like a lot of work without pay and lunch",1,1,1,1,0,0,1,1,0,0
Innovation in the investments space is being curbed by punitive tax treatments on equity linked notes in Federal Budget 2016. Can that be given another thought as it significantly affects young investors saving up for the future,1,1,2,1,2,1,1,1,0,0
"All funding should be accountable, I've seen people get pedicures with money meant for other purposes",1,1,1,1,0,0,1,1,0,0
Money does matter and students need to get paid and save for their college/University years and to learn money management,1,1,0,1,2,1,1,1,0,0
I would like to know why it is when I turn 65 my canada pension disability is stopped and I am given regular pension.?? I am still disabled after 65 and have the same needs and costs for my disability. Where will I find that extra two or three hundred a month?,1,1,0,1,0,0,1,1,0,0
Student loan should be paid back...to ensure next students can benefit same for education. That is only fair!,1,1,1,1,0,0,1,1,0,0
"No student after working hard for years should be endebted to school facilities, they need a hope for their futures",1,1,1,1,0,0,1,1,0,0
My school shut down. I was told to drive 45 minutes to a sister location or dont go. I5k in debt. I have 3 kids. Filed my taxes this year: they took my ENTIRE refund.,1,1,0,1,0,0,0,1,0,0
"Bernie, I will always love you for waking me up but seriously, do you think you would even be speaking these same words to Hillary",1,0,1,1,0,0,1,1,0,0
As I looked over the house and senate their were too many old people!  The younger Americans had better wise up and get into politics,1,0,1,1,0,0,1,1,0,0
Bernie Sanders became a Hillery puppet when he dropped out after the jet plane meeting with her. I dont trust him anymore. He was on her side the whole time. Never a real Independent.,1,1,1,0,0,0,0,1,0,0
"Goose Banks, the money is there: a transaction tax on high-frequency Wall Street trading.  Europe has a similar tax already in place and it would help discourage excessive speculation.",1,2,2,1,0,1,1,1,0,0
Thanks for trying to get this pharma bill done.  I've been feeling the Bern for over a year now,1,0,1,2,0,0,2,1,0,0
"Isnt it obvious he is deliberately as well as some conservatives, to keep the gap of education to not be available for everybody, for a reason.",1,0,1,0,0,0,0,1,0,0
If we could get our teenagers through a trade school certificate in public high schools b4 graduation things would be better,1,1,0,1,0,1,1,1,0,0
Educate the masses please we don't neeed a bigger military budget we already spend more than the next 12 1st world countries combined!,1,2,2,2,1,1,1,1,0,0
Why fix the criminal justice system when his buddies can profit from running the prisons?,1,0,1,0,0,0,0,1,0,0
"Listen Bernie, your comments are ridiculous....HEWILL keep all promises......thank Obama and your fellow Dems for all of the garbage not mentioned...you are really not responding......he just get the environ. Head because of you and yours.....",1,0,1,0,0,0,0,1,0,0
"Trump's CHRISTMAS PRESENT for the World: COAL. It will be delivered by Water and Air for free. Due to the Pruitt effect, the EPA won't be monitoring who gets more then the allotted Mercury, Sulfur or Cadium. Thank your GOP Rep for your PRESENT and Future.",1,1,1,0,0,0,0,1,0,0
Bernie Bernie Bernie - what we didn't hear from you is why you turned your back on your constituents and endorsed the terrible and much disliked Mrs Clinton . We could have elected you President - So shame on you .  oh the places we could have gone together ,1,1,0,0,0,0,0,1,0,0
If Bernie Sanders runs for president again he will be elected,1,0,1,2,0,0,2,1,0,0
"There are so many problems in this country , how could he possibly cover everything in one hour??? Your all upset because yours issues weren't discussed. He is working hard to work on all the problems he got in his lap. No one is caring about the positives.",1,1,1,2,1,1,1,1,0,0
So free college is more important than protection of our country ? Hell no,1,0,1,0,1,0,0,1,0,0
Then we need to keep his feet to the fire. Headline this morning in Denver Post says he's keeping my promises.,1,1,1,1,3,1,1,1,0,0
Keep fighting......ever think about pairing up with Jen granholm?,1,1,1,2,0,1,2,1,0,0
I love you Bernie Sanders!!! You are my president!!! Thanks to still care for us!!!,1,0,0,2,0,0,2,1,0,0
PREACH BERNIE!! I'm disgusted in the way his administration is running the EPA,1,0,1,2,0,0,1,1,0,0
If u know so much tell me what the power ball numbers are.,1,0,1,0,0,0,1,1,0,0
I wish you would have been able to stay in the race i would have voted for you in a heartbeat,1,0,1,2,0,0,2,1,0,0
Thank you Bernie for all your work for us the American people and the world.,1,0,1,2,0,0,2,1,0,0
"The most sensible and sane political leader alive. We must stay united and continue the protests,phone calls,emails and when the time comes VOTE.",1,0,1,2,0,0,2,1,0,0
Cutting Medicaid which cares for millions of American senior citizens,1,1,3,1,0,0,0,1,0,0
Love you Bernie Sanders! Why is doing what is right so hard?,1,0,1,2,0,0,1,1,0,0
Stop acting like an old man. You don't represent a broad enough cross section of America.,1,0,1,0,0,0,0,1,0,0
Don't understand why America did not make him a candidate.,1,0,1,1,0,0,0,1,0,0
Shut up snowflake!! Nobody cares what you say You got punked by Hitlery,0,0,1,0,0,0,0,1,0,0
You tell them Bernie!,1,0,1,1,0,0,2,1,0,0
Lol you guys watching this comedy,1,0,1,0,0,0,0,1,0,0
Keep fighting for us Bernie!!!!!,1,0,1,1,0,0,2,1,0,0
"Speak truth, feel the bern",1,0,1,1,0,0,2,1,0,0
Slash defense bloat!,1,0,1,0,0,0,1,1,0,0
Third world country is on our way,1,0,1,0,0,0,0,1,0,0
"President   _ thank you, very kindly, for your generous remarks and your warm welcome to the university of Saskatchewan. To you and all of your distinguished academic colleagues at this great institution of higher learning in this country  _ Maire Clarke and members of the council, Chief Bobby Clarke of the FSNI and other chiefs that I recognize throughout the room, and metis leaders as well here this evening, thank you for your welcome, thank you all for coming tonight. Good evening to each and every one of you. I  »ll certainly be glad every time I have the opportunity to be back at the University of Saskatchewan, because it is my alma mater and over the years we  »ve been able to do some interesting projects together, and as Peter has mentioned just in this past year we have presided over projects that will invest in this institution something in excess of 150 million dollars to support learning and innovation and brain power in the University of Saskatchewan, in the Province of Saskatchewan and indeed all around the world. So our relationship is big and it  »s strong, and it  »s good to have this opportunity to kind of show it off to the Prime Minister, so this is always on his radar screen.We  »ve also been able to do some good work this past year working on some great many other projects working with the province of Saskatchewan for mental health and home care. There  »s 500 million dollars for infrastructure and for science. There are trade projects which expand the capacity for Saskatchewan producers of beef and pork and canola to export around the world. There  »s 54 million dollars more for affordable housing in this province. A very important 8.4 billion dollars nationally to invest in indigenous health and infrastructure and education to narrow the life gap between indigenous and non-indigenous Canadians. A big portion of that flows to Saskatchewan simply because of the demographics of this province. And most recently, some very important energy transmission projects that will benefit Saskatchewan in some 20,000 jobs that will be created in Western Canada and some 10 billion dollars in private sector investment.So, some good things have been done. There  »s a lot more to do of course, and in listening to you, the Canadian government learns better about what those things are. The whole world is living today through turbulent and consequential times. A time, an era in the history of the world that demands real leadership. Leadership that motivates and animates and energizes, leadership that engages, listens, accounts. And that is what this particular Prime Minister of Canada does so very well. In Forums like this one in every corner of the country - to listen and to account. In a direct, unfiltered and face-to-face fashion. And tonight, it  »s in the city of Saskatoon. So you  »re all welcome, thank you for coming, thank you for what you will contribute to this dialogue, ladies and gentlemen, Justin Trudeau.",1,3,3,2,0,0,2,0,1,0
"Thank you thank you Saskatoon. Thank you Ralph for your warm words, thank you President for welcoming us here, thank you for the welcome on traditional Treaty 6 territory, it  »s a real pleasure to be here. Please, sit down, we  »re all friends here. I  »m really pleased here, this is a great turnout. This shows that - and there  »s an overflow room down the hall as well. It really shows that people are interested in engaging in the political process. In being part of coming out this evening and talking with the Prime Minister, asking questions, sharing some of the things that are important to you that you think about, figuring out where we are going as a country, talking about how we can each of us, as citizens, play a role in participating in building a better future for ourselves, for our kids, for our grandkids.  That  »s very much what I  »ve been doing over the last weeks over the country - I think this will be my 9th town hall, and it  »s been great. We  »ve had a huge range of questions on mental health - and of course we need to talk about that today because it  »s Let  »s Talk day, and if we haven  »t retweeted that and shared storied about struggles of mental health we need to, questions about veteran. I think we needed to have a day of experiencing what Toronto had to offer, they went to a couple of Raptors games and a rally jam-packed couple of days. I got to sit down with them and talk with them, including Jeremiah who asked me to give a shout out to this girl he knew Shay-lee, which is something that I was glad to do that night I had the town hall in London. A little reminder that kids are kids wherever they are. And regardless of the tragedies and the difficulties that people are facing we need to make sure that we are allowing kids to remain kids. And giving them the experiences and the hope and the opportunities that we need to have across the country. We have big challenges across this country on a broad range of issues. But one of the things that constantly reminds me of why we do this and encourages me to think that we are going to be able to work together successfully to build the best possible future for ourselves, our communities, our kids, is our capacity to roll up our sleeves and tackle these problems together. And that  »s why I  »m so pleased to be here tonight and to hear from all of you, and to chat with you on some of the issues you  »re facing, and mostly to keep working hard every day for you and for this country. So thank you very much for being here tonight and I  »m looking forward to getting to your questions. Yes. Let  »s start with a question from this section. Yes, you sir.",1,2,2,2,0,0,2,0,1,0
"Good evening Mr. Prime Minister, thanks for coming. The question that I have for you actually it  »s related to the carbon tax policy. Of course, this being Saskatchewan I  »m sure you saw this coming. The question I have for you is what is the, what is the strategy behind choosing to pursue carbon tax, when there is ample evidence on the record in other jurisdictions showing that that policy hasn  »t worked. Why are we not pursuing a made in Canada strategy to combat climate change.",1,1,0,2,0,0,1,0,1,0
"That  »s a great question. And it  »s an important one, because we know that one of the things we have to make sure we  »re doing is creating jobs, protecting jobs, building opportunities for Canadians to have good work today, tomorrow, in the years to come. And that  »s exactly why we  »ve chosen to move forward in a way that protects the economy and protects the environment. You talk about a made in Canada strategy, well the fact is, we have a made in Canada strategy. A strategy that draws on the tremendous success that British Columbia has had at pricing carbon, and making sure that putting a price on carbon polluters, their economy is more innovative and they get more solutions and are creating jobs of tomorrow. But more than that, what we  »ve managed to do coming together, creating a pan-Canadian framework on climate change that allows all provinces to do different things in different ways, to respond to their needs and their concerns, and will reduce our carbon emissions. And a part of that is recognizing the challenge of climate change, and part of that is also recognizing the opportunities that come with climate change. It  »s not a debate any more. Climate change is real. It  »s showing its impacts across the country, we know it  »s going to get worse. It  »s going to be more challenging. More floods, more droughts, more changes in weather patterns, more need to adapt, to mitigate the damage. So the question always is, how do we prepare for that. How do we make sure that yes we have good jobs today, but we  »re also bracing ourselves to manage the challenges come tomorrow, and take advantage of the opportunities that are coming with it. Putting a price on things that we don  »t want, like carbon pollution, is a way of encouraging people to innovate and figure out how to get around it. But I  »ve heard you. This transition period as we figure out a way to thrive on an economy that is less reliant on carbon is going to be tough on certain people. And that  »s why part of our proposal on pricing carbon pollution, the core of it is a promise that any money collected in Saskatchewan will stay in Saskatchewan. Anything anyone here pays in terms of a price on carbon pollution is money that the Premier, not the Federal Government will determine how to get back to the people who need it in Saskatchewan.  And what that will do, in terms of supporting people through this transition, is to make us think, because it encourages us to think about ways to pollute less, to innovate more. To think about where the jobs of tomorrow are going to come while doing it today. Now the previous government talked a big game about growing the economy. But they weren  »t able, for example, to create pipelines for example that are needed to develop, responsibly, our fossil fuels industry. And I say develop responsibly because we know we do have to figure out how to be less reliant on fossil fuels. But that  »s going to take significant amounts of time. And in the meantime, we have to make sure that the jobs, that the economies that are, right now, reliant on our fossil fuels  industry, get incentives to be better at using technology, to emit less, be more efficient, to become leaders at developing technologies that the world is going to need. And the way we do this, the way we decide that, you know what, we  »re going to put forward leadership on climate change, and meet our Paris Commitments, we  »re going to support people who need help with this transition, we  »re going to put a price on carbon, and doing that will allow us to do something that the previous government wasn  »t able to do, which is actually get pipelines like the Line 3 pipeline built. That  »s the balance we have. And that  »s what we have to try and manage. Now anytime you  »re going to make a decision, particularly around pipelines, you  »re going to have people unhappy with that decision. It  »s a big decision - there will be some people who will say   ìnope, you should have approved all pipelines  ù, there are other people who will say   ì no, no, no, you should approve no pipelines  ù and we did approve two. Looks like Keystone XL might be happening as well. So moving forward in a thoughtful, responsible way, that understands we do have to shift and grow our economies to adapt to the new reality of climate change, the challenges and the opportunities that come with it, in a way that doesn  »t hurt the most vulnerable, that protects the jobs we have today, that encourages people to think about the cleaner greener jobs that we know are going to come as we work on it tomorrow. It won  »t happen fast enough for some, it  »ll happen too fast for others. But I  »m confident that listening to Canadians, working with good people from coast to coast to coast, we  »ve got that balance right. Thank you very much for your question. A question from the back. You sir, in the glasses.",1,3,3,2,3,2,2,0,1,0
"Thank you so much for this evening Mr. Prime Minister, I  »m an international student here from Iran, I was wondering if you could tell us about your future plans for resuming political ties with my country. As you may know the Canadian embassy in Tehran is closed now, and my friends and I we face many hardships to go to neighboring countries to apply for our Canadian visa, and also, our parents have to face these hardships to get a Canadian visa.",1,1,0,2,0,0,1,0,1,0
"Thank you for the question. I think  _ and welcome here, and thank you for choosing to study here in Saskatchewan. Yes there are many different ways of looking at international relations and how Canada should engage with the world. But I  »m of the opinion that engaging in conversations, even with people you disagree with, is better than not talking to people you disagree with. Indeed, in diplomacy, it  »s more important to have conversations with people you disagree with than just conversations with people you agree with. However, we continue to have significant concerns with the Iranian government, which means we are cautiously reestablishing relations, in a way that doesn  »t ease off on the serious concerns we have about human rights internally, state sponsorship of terrorism, concern around the nuclear ambitions that have been expressed in the past, and carefully monitoring the agreement that was signed. Being thoughtful about how we engage, because right now anyone needing Canadian consular services in Iran has to go through Italy. And when we had the situation of Dr. Homobutfar from Concordia who was emprisoned in Iran for talking about, for doing research on feminism, for example, it was work that we did with the Italians, with the Swiss, and the Iranian government to try to get her home and we were successful in that. And part of that success was showing that we weren  »t unwilling to engage at all with the Iranian government, but that we were ready to talk with them about certain issues and certain files. But we do have to be very thoughtful, and responsible in how we approach, but one of the things that I always do is make a very clear distinction between the Iranian people and the Iranian government. I think that there are a lot of people in Iran who have questions and challenges around their governments and I think having engagement, diplomatically, to certain levels is ultimately good for them. Question, yes, you in the back.",1,3,3,2,3,2,1,0,1,0
"Thank you so much for taking my question. My question is in regards to bill F-217, commonly known as Win  »s law. I  »m sure you  »re aware that unfortunately two years ago constable David Win was shot and killed at St. Albert. Since then, Michael Cooper has brought this bill forward to help change the law that states that currently,  the prosecutor or the police service may provide information on past criminal history currently that that person at the bail hearing is charged with. This bill has been passed unanimously twice in your House of Commons. And on the third reading, the Minister of Justice declined the bill. My question to you is, Mr. Prime Minister, is why have we not been given an explanation as to why the government would support this Minister of Justice in declining such an important bill that could improve the safety of Canadians. Not only just our police officers, but also the general public. Making this information mandatory to be presented to the Justice of the Peace or judge granting the bail, is quite important so why would we not make that mandatory? Any how can we ask these people granting bail to criminals, how can we ask them to make that choice without granting that information that is quite important for them to make a decision that is already in our law, that states that people are only granted law should they deserve it, and how can they make that choice if they are not presented with the right information. So could you please explain to me why we have not had explanation on why she would unilaterally to decline this bill after it  »s been unanimously passed twice. And, if I may ask, please, I  »m sorry, I  »m getting long winded, but could I also ask for you to reconsider your position on this bill because it is just such a small change that the government would make, just a word, that would have a significant difference in the safety of all Canadians.",1,3,3,2,3,2,1,0,1,0
"First of all, thank you. Thank you for what is obviously a very important issue, to you and to a number of people. The fact is, you have me at a bit of a disadvantage, you obviously know a lot more detail about this particular piece of legislation than I do. I have an excellent cabinet, and an excellent Justice Minister who has my entire confidence and how understands how importance it is to keep Canadians safe, to protect Canadians, while upholding our charter or rights and freedoms. And that is something that we always have to work in balancing. We have to make sure that we know that what Canadian expect is to be kept safe and that their rights be protected. Getting that balance is sometimes a challenge, sometimes counterintuitive, I found myself defending the rights of a convicted terrorist to keep their Canadian citizenship on stage in the last election. In a debate. Think that something like that should be as black and white as:   ìif you  »re convicted of a terrorist offense against Canada, you should be stripped of your citizenship  ù. That seems like something that is obvious, that everyone should able to agree with. The problem, unfortunately, in that, is in the details. Because you can  »t actually strip any Canadian from their citizenship, you can only strip first or second generation Canadians, who have come here from somewhere else. And what that does is it creates two types of consequences, for people that are supposed to be equal. Canadians are not supposed to have different degrees of citizenship, whether they are born here, or whether they live here. But that  »s and example of something that seems to be obvious but that is actually more complex. So without going into the details on that particular piece of legislation, let me tell you, that we are constantly weighing the importance of protecting Canadians  » rights and keeping Canadians safe, particularly the men and women who serve in emergency services, as first responders and as police officers. And that  »s something that I will commit to you to take back to the Minister of Justice and ask her to explain more clearly to you and to Canadians the rationale behind that decision. Thank you very much. Sorry there are a lot of people with questions here and I am going to keep going through. You sir, standing there waiving at me. Yes.",1,3,2,2,3,2,1,0,1,0
"Thank you Mr. Prime Minister, I  »d like to say that I was a man when your dad was Prime Minister. And I watched him do a lot of of, you know, fantastic things, and the one thing is related to First Nations Treaty Rights here in Saskatchewan. I come from treaty land, and I know we  »re celebrating 150 years of Canada this year, it  »s been 110 years since part of our treaty land was taken in 1907. I was told about that in 1973 when I was in grade 10, by one of my grandparents. He said we were going to settle it real soon. It wasn  »t until 1996 when I was working on the land claim, doing some research, that we finally got it. Still in 1999, I was the chief of the reserve, and I went and argued before your commission for the return of our lands from 1907. And they agreed with our argument, when we said that Canada owes us the land. They rethought the decision when they said that Canada doesn  »t owe us any land. Go to a second inquiry. The second one says that they don  »t owe us anything. But I think you do. In 1899, there was a Member of Parliament that said, that if it came down to the interests of the white people and the interests of the native people, the interests of the white people would prevail. So I  »m asking you, we don  »t have to go through anymore hearings, we  »ve had all the hearings, we  »ve had all the judges and the people looking at those things. And making decisions already. You can take it back to your parliament and right that historic wrong to Cowasis. That means that. And I  »ve heard you talk about young people, young first nations particular. I have many children, I have many many grandchildren. And from 1973 until 1996, the investments of those lands didn  »t go to that generation. We lost that generation. We have gangs here. And so, if you don  »t live up to the obligations and return the 1973 land to the Cowasis, we lose another generation. And so I  »m asking you, can you bring it back to parliament? And bring our land claim back to parliament?  And return those lands that belong to Cowasis by treaty. Thank you.",1,3,0,2,1,2,1,0,1,0
