"","matrix.0.","state","district","title","enddate","party","birthday","firstname","middlename","lastname","sortname","gender","twitterid"
"76","CA-19","CA",19,"Rep.","2017-01-03","Democrat","1947-12-21","Zoe","","Lofgren","Lofgren, Zoe (Rep.) [D-CA19]","female","RepZoeLofgren"
"77","NY-17","NY",17,"Rep.","2017-01-03","Democrat","1937-07-05","Nita","M.","Lowey","Lowey, Nita (Rep.) [D-NY17]","female","NitaLowey"
"78","OK-3","OK",3,"Rep.","2017-01-03","Republican","1960-01-06","Frank","D.","Lucas","Lucas, Frank (Rep.) [R-OK3]","male","RepFrankLucas"
"79","MA-8","MA",8,"Rep.","2017-01-03","Democrat","1955-03-31","Stephen","F.","Lynch","Lynch, Stephen (Rep.) [D-MA8]","male","RepStephenLynch"
"80","NY-12","NY",12,"Rep.","2017-01-03","Democrat","1946-02-19","Carolyn","B.","Maloney","Maloney, Carolyn (Rep.) [D-NY12]","female","RepMaloney"
"81","MN-4","MN",4,"Rep.","2017-01-03","Democrat","1954-07-12","Betty","Louise","McCollum","McCollum, Betty (Rep.) [D-MN4]","female","BettyMcCollum04"
"82","WA-7","WA",7,"Rep.","2017-01-03","Democrat","1936-12-28","Jim","A.","McDermott","McDermott, Jim (Rep.) [D-WA7]","male","RepJimMcDermott"
"83","MA-2","MA",2,"Rep.","2017-01-03","Democrat","1959-11-20","James","P.","McGovern","McGovern, James “Jim” (Rep.) [D-MA2]","male","RepMcGovern"
"84","NY-5","NY",5,"Rep.","2017-01-03","Democrat","1953-09-25","Gregory","W.","Meeks","Meeks, Gregory (Rep.) [D-NY5]","male","GregoryMeeks"
"85","FL-7","FL",7,"Rep.","2017-01-03","Republican","1943-01-27","John","L.","Mica","Mica, John (Rep.) [R-FL7]","male",NA
"86","MI-10","MI",10,"Rep.","2017-01-03","Republican","1954-05-07","Candice","S.","Miller","Miller, Candice (Rep.) [R-MI10]","female","CandiceMiller"
"87","FL-1","FL",1,"Rep.","2017-01-03","Republican","1959-06-27","Jeff","","Miller","Miller, Jeff (Rep.) [R-FL1]","male",NA
"88","PA-18","PA",18,"Rep.","2017-01-03","Republican","1952-09-11","Tim","","Murphy","Murphy, Tim (Rep.) [R-PA18]","male","RepTimMurphy"
"89","NY-10","NY",10,"Rep.","2017-01-03","Democrat","1947-06-13","Jerrold","L.","Nadler","Nadler, Jerrold (Rep.) [D-NY10]","male","RepJerryNadler"
"90","CA-32","CA",32,"Rep.","2017-01-03","Democrat","1936-12-04","Grace","F.","Napolitano","Napolitano, Grace (Rep.) [D-CA32]","female","GraceNapolitano"
"91","MA-1","MA",1,"Rep.","2017-01-03","Democrat","1949-02-14","Richard","E.","Neal","Neal, Richard (Rep.) [D-MA1]","male","RepRichardNeal"
"92","DC-0","DC",0,"Rep.","2017-01-03","Democrat","1937-06-13","Eleanor","Holmes","Norton","Norton, Eleanor (Rep.) [D-DC0]","female","EleanorNorton"
"93","CA-22","CA",22,"Rep.","2017-01-03","Republican","1973-10-01","Devin","G.","Nunes","Nunes, Devin (Rep.) [R-CA22]","male","Rep_DevinNunes"
"94","NJ-6","NJ",6,"Rep.","2017-01-03","Democrat","1951-10-30","Frank","J.","Pallone","Pallone, Frank (Rep.) [D-NJ6]","male","FrankPallone"
"95","NJ-9","NJ",9,"Rep.","2017-01-03","Democrat","1937-01-25","Bill","J.","Pascrell","Pascrell, Bill (Rep.) [D-NJ9]","male","BillPascrell"
"96","NM-2","NM",2,"Rep.","2017-01-03","Republican","1947-08-24","Stevan","E.","Pearce","Pearce, Stevan “Steve” (Rep.) [R-NM2]","male","RepStevePearce"
"97","CA-12","CA",12,"Rep.","2017-01-03","Democrat","1940-03-26","Nancy","","Pelosi","Pelosi, Nancy (Rep.) [D-CA12]","female","NancyPelosi"
"98","MN-7","MN",7,"Rep.","2017-01-03","Democrat","1944-06-29","Collin","Clark","Peterson","Peterson, Collin (Rep.) [D-MN7]","male",NA
"99","PA-16","PA",16,"Rep.","2017-01-03","Republican","1939-10-10","Joseph","R.","Pitts","Pitts, Joseph (Rep.) [R-PA16]","male","RepJoePitts"
"100","NC-4","NC",4,"Rep.","2017-01-03","Democrat","1940-08-17","David","E.","Price","Price, David (Rep.) [D-NC4]","male","RepDavidEPrice"
"101","NY-13","NY",13,"Rep.","2017-01-03","Democrat","1930-06-11","Charles","B.","Rangel","Rangel, Charles “Charlie” (Rep.) [D-NY13]","male","CBRangel"
"102","KY-5","KY",5,"Rep.","2017-01-03","Republican","1937-12-31","Harold","","Rogers","Rogers, Harold “Hal” (Rep.) [R-KY5]","male","RepHalRogers"
"103","AL-3","AL",3,"Rep.","2017-01-03","Republican","1958-07-16","Mike","","Rogers","Rogers, Mike (Rep.) [R-AL3]","male","RepMikeRogersAL"
"104","CA-48","CA",48,"Rep.","2017-01-03","Republican","1947-06-21","Dana","T.","Rohrabacher","Rohrabacher, Dana (Rep.) [R-CA48]","male",NA
"105","FL-27","FL",27,"Rep.","2017-01-03","Republican","1952-07-15","Ileana","","Ros-Lehtinen","Ros-Lehtinen, Ileana (Rep.) [R-FL27]","female","RosLehtinen"
"106","CA-40","CA",40,"Rep.","2017-01-03","Democrat","1941-06-12","Lucille","","Roybal-Allard","Roybal-Allard, Lucille (Rep.) [D-CA40]","female","RepRoybalAllard"
"107","CA-39","CA",39,"Rep.","2017-01-03","Republican","1951-10-12","Edward","R.","Royce","Royce, Edward “Ed” (Rep.) [R-CA39]","male","RepEdRoyce"
"108","MD-2","MD",2,"Rep.","2017-01-03","Democrat","1946-01-31","C.","A. Dutch","Ruppersberger","Ruppersberger, A. Dutch (Rep.) [D-MD2]","male","Call_Me_Dutch"
"109","IL-1","IL",1,"Rep.","2017-01-03","Democrat","1946-11-23","Bobby","L.","Rush","Rush, Bobby (Rep.) [D-IL1]","male","RepBobbyRush"
"110","WI-1","WI",1,"Rep.","2017-01-03","Republican","1970-01-29","Paul","D.","Ryan","Ryan, Paul (Rep.) [R-WI1]","male","RepPaulRyan"
"111","OH-13","OH",13,"Rep.","2017-01-03","Democrat","1973-07-16","Tim","J.","Ryan","Ryan, Tim (Rep.) [D-OH13]","male","RepTimRyan"
"112","CA-38","CA",38,"Rep.","2017-01-03","Democrat","1969-01-28","Linda","T.","Sánchez","Sánchez, Linda (Rep.) [D-CA38]","female","RepLindaSanchez"
"113","CA-46","CA",46,"Rep.","2017-01-03","Democrat","1960-01-07","Loretta","B.","Sanchez","Sanchez, Loretta (Rep.) [D-CA46]","female","LorettaSanchez"
"114","IL-9","IL",9,"Rep.","2017-01-03","Democrat","1944-05-26","Janice","D.","Schakowsky","Schakowsky, Janice “Jan” (Rep.) [D-IL9]","female","JanSchakowsky"
"115","CA-28","CA",28,"Rep.","2017-01-03","Democrat","1960-06-22","Adam","B.","Schiff","Schiff, Adam (Rep.) [D-CA28]","male","RepAdamSchiff"
"116","GA-13","GA",13,"Rep.","2017-01-03","Democrat","1945-06-27","David","","Scott","Scott, David (Rep.) [D-GA13]","male","RepDavidScott"
"117","VA-3","VA",3,"Rep.","2017-01-03","Democrat","1947-04-30","Robert","C.","Scott","Scott, Robert “Bobby” (Rep.) [D-VA3]","male","RepBobbyScott"
"118","WI-5","WI",5,"Rep.","2017-01-03","Republican","1943-06-14","F.","James","Sensenbrenner","Sensenbrenner, James (Rep.) [R-WI5]","male","JimPressOffice"
"119","NY-15","NY",15,"Rep.","2017-01-03","Democrat","1943-10-24","José","E.","Serrano","Serrano, José (Rep.) [D-NY15]","male","RepJoseSerrano"
"120","TX-32","TX",32,"Rep.","2017-01-03","Republican","1955-03-22","Pete","A.","Sessions","Sessions, Pete (Rep.) [R-TX32]","male","PeteSessions"
"121","CA-30","CA",30,"Rep.","2017-01-03","Democrat","1954-10-24","Brad","J.","Sherman","Sherman, Brad (Rep.) [D-CA30]","male","BradSherman"
"122","IL-15","IL",15,"Rep.","2017-01-03","Republican","1958-02-21","John","M.","Shimkus","Shimkus, John (Rep.) [R-IL15]","male","RepShimkus"
"123","ID-2","ID",2,"Rep.","2017-01-03","Republican","1950-09-08","Michael","K.","Simpson","Simpson, Michael “Mike” (Rep.) [R-ID2]","male","CongMikeSimpson"
"124","NY-25","NY",25,"Rep.","2017-01-03","Democrat","1929-08-14","Louise","McIntosh","Slaughter","Slaughter, Louise (Rep.) [D-NY25]","female","LouiseSlaughter"
"125","WA-9","WA",9,"Rep.","2017-01-03","Democrat","1965-06-15","Adam","","Smith","Smith, Adam (Rep.) [D-WA9]","male","RepAdamSmith"
"126","NJ-4","NJ",4,"Rep.","2017-01-03","Republican","1953-03-04","Christopher","H.","Smith","Smith, Christopher “Chris” (Rep.) [R-NJ4]","male","RepChrisSmith"
"127","TX-21","TX",21,"Rep.","2017-01-03","Republican","1947-11-19","Lamar","S.","Smith","Smith, Lamar (Rep.) [R-TX21]","male","LamarSmithTX21"
"128","MS-2","MS",2,"Rep.","2017-01-03","Democrat","1948-01-28","Bennie","G.","Thompson","Thompson, Bennie (Rep.) [D-MS2]","male","BennieGThompson"
"129","CA-5","CA",5,"Rep.","2017-01-03","Democrat","1951-01-24","Mike","Michael","Thompson","Thompson, Mike (Rep.) [D-CA5]","male","RepThompson"
"130","TX-13","TX",13,"Rep.","2017-01-03","Republican","1958-07-15","Mac","M.","Thornberry","Thornberry, Mac (Rep.) [R-TX13]","male","MacTXPress"
"131","OH-12","OH",12,"Rep.","2017-01-03","Republican","1962-10-21","Patrick","J.","Tiberi","Tiberi, Patrick “Pat” (Rep.) [R-OH12]","male","TiberiPress"
"132","OH-10","OH",10,"Rep.","2017-01-03","Republican","1960-01-11","Michael","R.","Turner","Turner, Michael (Rep.) [R-OH10]","male","RepMikeTurner"
"133","MI-6","MI",6,"Rep.","2017-01-03","Republican","1953-04-23","Fred","Stephen","Upton","Upton, Fred (Rep.) [R-MI6]","male","RepFredUpton"
"134","MD-8","MD",8,"Rep.","2017-01-03","Democrat","1959-01-10","Chris","","Van Hollen","Van Hollen, Chris (Rep.) [D-MD8]","male","ChrisVanHollen"
"135","NY-7","NY",7,"Rep.","2017-01-03","Democrat","1953-03-28","Nydia","M.","Velázquez","Velázquez, Nydia (Rep.) [D-NY7]","female","NydiaVelazquez"
"136","IN-1","IN",1,"Rep.","2017-01-03","Democrat","1949-08-13","Peter","J.","Visclosky","Visclosky, Peter (Rep.) [D-IN1]","male","RepVisclosky"
"137","OR-2","OR",2,"Rep.","2017-01-03","Republican","1957-01-10","Greg","P.","Walden","Walden, Greg (Rep.) [R-OR2]","male","RepGregWalden"
"138","CA-43","CA",43,"Rep.","2017-01-03","Democrat","1938-08-15","Maxine","","Waters","Waters, Maxine (Rep.) [D-CA43]","female","MaxineWaters"
"139","KY-1","KY",1,"Rep.","2017-01-03","Republican","1943-05-25","Ed","","Whitfield","Whitfield, Ed (Rep.) [R-KY1]","male","RepEdWhitfield"
"140","SC-2","SC",2,"Rep.","2017-01-03","Republican","1947-07-31","Joe","G.","Wilson","Wilson, Joe (Rep.) [R-SC2]","male","RepJoeWilson"
"141","AK-0","AK",0,"Rep.","2017-01-03","Republican","1933-06-09","Don","E.","Young","Young, Don (Rep.) [R-AK0]","male","RepDonYoung"
"142","TX-19","TX",19,"Rep.","2017-01-03","Republican","1949-12-24","Randy","","Neugebauer","Neugebauer, Randy (Rep.) [R-TX19]","male","RandyNeugebauer"
"143","AZ-5","AZ",5,"Rep.","2017-01-03","Republican","1958-01-21","Matt","","Salmon","Salmon, Matt (Rep.) [R-AZ5]","male","RepMattSalmon"
"144","SC-1","SC",1,"Rep.","2017-01-03","Republican","1960-05-28","Marshall","","Sanford","Sanford, Marshall “Mark” (Rep.) [R-SC1]","male","RepSanfordSC"
"145","NC-1","NC",1,"Rep.","2017-01-03","Democrat","1947-04-27","George","Kenneth","Butterfield","Butterfield, George “G.K.” (Rep.) [D-NC1]","male","GKButterfield"
"146","CA-16","CA",16,"Rep.","2017-01-03","Democrat","1952-04-13","Jim","","Costa","Costa, Jim (Rep.) [D-CA16]","male","RepJimCosta"
"147","FL-23","FL",23,"Rep.","2017-01-03","Democrat","1966-09-27","Debbie","","Wasserman Schultz","Wasserman Schultz, Debbie (Rep.) [D-FL23]","female","RepDWStweets"
"148","GA-6","GA",6,"Rep.","2017-01-03","Republican","1954-10-08","Tom","","Price","Price, Tom (Rep.) [R-GA6]","male","RepTomPrice"
"149","GA-3","GA",3,"Rep.","2017-01-03","Republican","1950-04-02","Lynn","A.","Westmoreland","Westmoreland, Lynn (Rep.) [R-GA3]","male","RepWestmoreland"
"150","IL-3","IL",3,"Rep.","2017-01-03","Democrat","1966-07-15","Daniel","William","Lipinski","Lipinski, Daniel (Rep.) [D-IL3]","male","RepLipinski"
"151","LA-3","LA",3,"Rep.","2017-01-03","Republican","1956-02-21","Charles","W.","Boustany","Boustany, Charles (Rep.) [R-LA3]","male","RepBoustany"
"152","MO-5","MO",5,"Rep.","2017-01-03","Democrat","1944-10-26","Emanuel","","Cleaver","Cleaver, Emanuel (Rep.) [D-MO5]","male","RepCleaver"
"153","NE-1","NE",1,"Rep.","2017-01-03","Republican","1960-12-27","Jeff","Lane","Fortenberry","Fortenberry, Jeff (Rep.) [R-NE1]","male","JeffFortenberry"
"154","NY-26","NY",26,"Rep.","2017-01-03","Democrat","1959-10-06","Brian","M.","Higgins","Higgins, Brian (Rep.) [D-NY26]","male","RepBrianHiggins"
"155","NC-5","NC",5,"Rep.","2017-01-03","Republican","1943-06-29","Virginia","","Foxx","Foxx, Virginia (Rep.) [R-NC5]","female","VirginiaFoxx"
"156","NC-10","NC",10,"Rep.","2017-01-03","Republican","1975-10-22","Patrick","T.","McHenry","McHenry, Patrick (Rep.) [R-NC10]","male","PatrickMcHenry"
"157","PA-8","PA",8,"Rep.","2017-01-03","Republican","1963-06-28","Michael","G.","Fitzpatrick","Fitzpatrick, Michael (Rep.) [R-PA8]","male","RepFitzpatrick"
"158","PA-15","PA",15,"Rep.","2017-01-03","Republican","1960-05-24","Charles","W.","Dent","Dent, Charles (Rep.) [R-PA15]","male",NA
"159","TX-1","TX",1,"Rep.","2017-01-03","Republican","1953-08-18","Louie","B.","Gohmert","Gohmert, Louie (Rep.) [R-TX1]","male","RepLouieGohmert"
"160","TX-2","TX",2,"Rep.","2017-01-03","Republican","1948-09-10","Ted","","Poe","Poe, Ted (Rep.) [R-TX2]","male","JudgeTedPoe"
"161","TX-9","TX",9,"Rep.","2017-01-03","Democrat","1947-09-01","Al","","Green","Green, Al (Rep.) [D-TX9]","male","RepAlGreen"
"162","TX-10","TX",10,"Rep.","2017-01-03","Republican","1962-01-14","Michael","T.","McCaul","McCaul, Michael (Rep.) [R-TX10]","male","McCaulPressShop"
"163","TX-11","TX",11,"Rep.","2017-01-03","Republican","1948-06-11","K.","Michael","Conaway","Conaway, Michael (Rep.) [R-TX11]","male","ConawayTX11"
"164","TX-24","TX",24,"Rep.","2017-01-03","Republican","1951-02-23","Kenny","Ewell","Marchant","Marchant, Kenny (Rep.) [R-TX24]","male","RepKenMarchant"
"165","TX-28","TX",28,"Rep.","2017-01-03","Democrat","1955-09-19","Henry","","Cuellar","Cuellar, Henry (Rep.) [D-TX28]","male","RepCuellar"
